tag;artist;song;popularity;id;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
happy;Jean-Marie Leclair;Sonata for 2 Violins in G Major, Op. 3, No. 1: I. Allegro;13;0shlNAfasKJ9wUsyy6Ewoj;0.608;0.134;1;-16.014;1;0.0436;0.993;0.808;0.08;0.835;102.383;163938
happy;Ensemble Pian & Forte & Gabriele Cassone;Tafelmusik Teil II - I. Ouverture - Suite: V. Air: Allegro (Telemann);9;4w2rZpkruVKMdTzOcQ9JVh;0.542;0.0883;1;-17.423;1;0.06;0.912;0.0117;0.0502;0.428;128.166;255640
happy;Alessandro Marcello;Marcello, A.: Oboe Concerto in D Minor: III. Allegro (Arr. for Trumpet in C Minor);17;5izvSVjwjel3Khedup0VtV;0.447;0.339;0;-15.852;0;0.0578;0.973;0.897;0.0683;0.84;100.865;181853
happy;Jean-Marie Leclair;Violin Concerto in D Major, Op. 7, No. 2*: II. Allegro ma non troppo;11;41D8p6hJzU9LDh3hxyS04L;0.454;0.22;1;-17.768;1;0.0417;0.887;0.0613;0.126;0.524;97.425;336693
happy;Johann Friedrich Fasch;Concerto in D Major for Two Corni Da Caccia, Two Oboes, Bassoon, Strings and Basso Continuo: 1. Allegro;12;2Xg0BEFvM85X0yeEWP1Usp;0.466;0.124;9;-18.384;1;0.0366;0.993;0.968;0.124;0.531;81.531;293640
happy;Jean-Marie Leclair;Violin Concerto in A Major, Op. 7, No. 6*: III. Giga: Allegro;9;1smz8iF6GBV7g1TLYb2GpD;0.497;0.273;8;-15.759;1;0.0565;0.863;0.0206;0.113;0.641;119.083;314613
happy;Arcangelo Corelli;Violin Sonata in D Major, Op. 5 No.1: V. Allegro;25;1FDlOyPlJiCyKuPBDRbQ0E;0.501;0.39;8;-10.868;1;0.0372;0.965;0.000261;0.118;0.672;109.243;105747
happy;Giuseppe Tartini;Violin Concerto in E Major, D. 50: I. Allegro;34;5egTLIg0yVhFhN12nPX91v;0.494;0.13;4;-15.961;1;0.0492;0.955;0.347;0.17;0.538;77.95;371680
happy;I Musici;Concert for Two Mandolins, Strings and Organ Continued in G Major, RV 532: I. Allegro;17;6EZxkxIR5CVkKp19ioKdEe;0.538;0.281;2;-14.613;1;0.0414;0.907;0.936;0.168;0.742;92.739;273920
happy;Johann Friedrich Fasch;Trumpet Concerto in D Major, FWV L:D1: III. Allegro;15;7d2AnC0OdL4uQOyM7nBl0y;0.482;0.192;8;-15.566;1;0.0388;0.966;0.956;0.0695;0.486;126.88;180867
