sep=,
dance,Delerium_Feat_Sarah_McLachlan_Silence_Original_Fade_Sanctuary_Remix_,0.933
dance,DJ_Jazzy_Jeff_The_Fresh_Prince_Boom_Shake_The_Room_The_Street_Remix_,0.534
dance,Dj_Jean_The_Launch_Official_Video_,0.434
dance,Donna_Lewis_I_Love_You_Always_Forever_Official_Video_,0.283
dance,Double_You_Please_Don_t_Go_Official_Video_,0.357
dance,DR_ALBAN_IT_S_MY_LIFE_RADIO_EDIT_IT_S_MY_LIFE_CLUB_EDIT_,0.431
dance,Earth_Wind_Fire_Let_s_Groove,0.389
dance,Earth_Wind_Fire_September,0.253
dance,Everything_But_The_Girl_Missing_Todd_Terry_Remix_1995_,0.375
dance,Fatboy_Slim_Praise_You,0.247
dance,Felix_Don_t_You_Want_Me_2015_Turbo_Radio_Edit_Official_Music_Video_,1.004
dance,Felix_Don_t_You_Want_Me_Hooj_Mix_1992_,0.641
dance,Future_Breeze_Why_Don_t_You_Dance_With_Me_Official_Video_,0.323
dance,Gina_G_Ooh_Aah_Just_A_Little_Bit,0.271
dance,Groove_Armada_I_See_You_Baby_Fatboy_Slim_Remix_Uncensored_ft_Gram_ma_Funk,0.285
dance,Groove_Armada_Superstylin_,0.28
dance,Haddaway_What_Is_Love_Official_,0.345
dance,Heavy_D_The_Boyz_Now_That_We_Found_Love_ft_Aaron_Hall,0.409
dance,Ida_Corr_Let_Me_Think_About_It_Radio_Edit_,2.241
dance,Ini_Kamoze_Here_Comes_The_Hotstepper_HQ_,0.405
dance,Jam_Spoon_Feat_Plavka_Right_In_The_Night_Full_Length_Mix_1993_HD_1080p_FULL_EDIT_mp4,0.426
dance,Jamiroquai_Virtual_Insanity_Official_Video_,0.387
dance,Junior_Jack_Stupidisco_Official_Video_,0.332
dance,Junior_Senior_Move_Your_Feet_Official_music_video_HD_,0.462
dance,Justin_Timberlake_Rock_Your_Body,0.416
dance,Kylie_Minogue_Can_t_Get_You_Out_Of_My_Head_HD_,0.094
dance,La_Bouche_Sweet_Dreams,0.36
dance,Los_del_Rio_Macarena_Original_Video_,0.345
dance,M_PEOPLE_MOVING_ON_UP_HD_1993,0.262
dance,Madison_Avenue_Don_t_Call_Me_Baby_Original_Mix_,0.387
dance,Mariah_Carey_Honey,0.839
dance,Massive_Attack_Unfinished_Sympathy,0.473
dance,Moby_Go,0.187
dance,Modjo_Lady_Hear_Me_Tonight_Official_Video_,0.297
dance,mousse_t_vs_hot_n_juicy_horny_98_radio_edit_,0.44
dance,Mr_President_Coco_Jamboo_Radio_Version_,0.363
dance,N_Joi_Anthem_,0.4
dance,N_Trance_Stayin_Alive,0.385
dance,Naughty_By_Nature_Hip_Hop_Hooray_HQ,0.389
dance,New_Kids_On_The_Block_Step_by_Step_Official_video_Subtitulado_Espan_ol,0.391
dance,Nick_Coleman_Faces_Of_Meth_T_Rek_Remix_,0.547
dance,No_Mercy_Where_Do_You_Go_Radio_Mix_HQ,0.347
dance,O_P_P_Naughty_By_Nature_HQ_Audio_,0.291
dance,Olive_You_re_Not_Alone_Original_Radio_Edit_,0.475
dance,OMC_How_Bizarre,0.376
dance,Outhere_Brothers_Boom_Boom_Boom_Official_Video,0.559
dance,Paul_Johnson_Get_Get_Down_Original_Radio_,0.382
dance,Praise_You_by_Fatboy_Slim_Official_Video_,0.334
dance,Puretone_Addicted_To_Bass,0.409
dance,Real_McCoy_Another_Night,0.336
dance,Real_McCoy_Automatic_Lover_Call_For_Love_,0.41
dance,Ricky_Martin_Livin_La_Vida_Loca,0.339
dance,Robert_Miles_Children_Dream_Version_,0.388
dance,Robin_S_Show_Me_Love_Official_Music_Video_1993_,0.343
dance,Rockafeller_Skank_by_Fatboy_Slim_Official_Video_,0.421
dance,Room_5_make_luv,0.471
dance,RUN_DMC_Jason_Nevins_It_s_Like_That,0.264
dance,Snap_Power_7_version_,0.369
dance,Snow_Informer_1992_HQ,0.336
dance,Sonique_It_Feels_So_Good,0.18
dance,Soul_II_Soul_Back_To_Life,0.404
dance,Stardust_Music_Sounds_Better_With_You,0.348
