sep=,
dance,Avant_Makin_Good_Love,0.156
dance,Basement_Jaxx_Romeo_Official_Video_Rooty,0.11
dance,Beats_International_Dub_Be_Good_To_Me,0.083
dance,Betty_Boo_Where_Are_You_Baby_Official_Video_,0.196
dance,Black_Box_Ride_on_Time_Official_Video_,0.144
dance,Booty_Luv_Boogie_2Nite_High_Quality_Seamus_Haji_Big_Love_Remix_,0.141
dance,C_C_Music_Factory_Gonna_Make_You_Sweat_Everybody_Dance_Now_ft_Freedom_Williams,0.137
dance,CeCe_Peniston_Finally,0.121
dance,Celebration_by_Kool_and_the_Gang_with_lyrics,0.149
dance,Chase_The_Sun_Planet_Funk,0.076
dance,Chumbawamba_Tubthumping,0.119
dance,Corona_Try_Me_Out_Official_Music_Video_,0.073
dance,Crystal_Waters_Gypsy_Woman_She_s_Homeless_,0.115
dance,Culture_Beat_Mr_Vain_Special_Radio_Edit_,0.14
dance,Da_Hool_Meet_Her_At_The_Love_Parade_Radio_Edit_,0.078
dance,Daft_Punk_Around_The_World,0.13
dance,Daft_Punk_Face_To_Face,0.063
dance,Daft_Punk_One_More_Time_Radio_Edit_,0.13
dance,Daniel_Bedingfield_Gotta_Get_Thru_This_D_N_D_Full_Length_Version_TO_,0.12
dance,Dannii_Minogue_Feat_Riva_Who_Do_You_Love_Now_HQ_House_Music,0.099
dance,Darude_Sandstorm,0.113
dance,Delerium_Feat_Sarah_McLachlan_Silence_Original_Fade_Sanctuary_Remix_,0.078
dance,DJ_Jazzy_Jeff_The_Fresh_Prince_Boom_Shake_The_Room_The_Street_Remix_,0.108
dance,Dj_Jean_The_Launch_Official_Video_,0.166
dance,Donna_Lewis_I_Love_You_Always_Forever_Official_Video_,0.055
dance,Double_You_Please_Don_t_Go_Official_Video_,0.127
dance,DR_ALBAN_IT_S_MY_LIFE_RADIO_EDIT_IT_S_MY_LIFE_CLUB_EDIT_,0.193
dance,Earth_Wind_Fire_Let_s_Groove,0.115
dance,Earth_Wind_Fire_September,0.113
dance,Everything_But_The_Girl_Missing_Todd_Terry_Remix_1995_,0.116
dance,Fatboy_Slim_Praise_You,0.119
dance,Felix_Don_t_You_Want_Me_2015_Turbo_Radio_Edit_Official_Music_Video_,0.11
dance,Felix_Don_t_You_Want_Me_Hooj_Mix_1992_,0.142
dance,Future_Breeze_Why_Don_t_You_Dance_With_Me_Official_Video_,0.04
dance,Gina_G_Ooh_Aah_Just_A_Little_Bit,0.158
dance,Groove_Armada_I_See_You_Baby_Fatboy_Slim_Remix_Uncensored_ft_Gram_ma_Funk,0.047
dance,Groove_Armada_Superstylin_,0.125
dance,Haddaway_What_Is_Love_Official_,0.088
dance,Heavy_D_The_Boyz_Now_That_We_Found_Love_ft_Aaron_Hall,0.129
