sep=,
The_Beatles,02_Norwegian_Wood_,0.081
The_Beatles,03_You_Won_t_See_Me_,0.132
The_Beatles,04_Nowhere_Man_,0.141
The_Beatles,05_Think_For_Yourself_,0.101
The_Beatles,07_Michelle_,0.043
The_Beatles,08_What_Goes_On_,0.101
The_Beatles,09_Girl_,0.098
The_Prodigy,01_The_Prodigy_Smack_My_Bitch_Up,0.110
The_Prodigy,02_The_Prodigy_Breathe,0.136
The_Prodigy,03_The_Prodigy_Diesel_Power,0.155
The_Prodigy,04_The_Prodigy_Funky_Shit,0.188
The_Prodigy,05_The_Prodigy_Serila_Thrilla,0.150
The_Prodigy,06_The_Prodigy_Mindfields,0.187
The_Prodigy,07_The_Prodigy_Narayan,0.106
The_Prodigy,08_The_Prodigy_Firestarter,0.152
The_Prodigy,09_The_Prodigy_Climbatize,0.252
The_Prodigy,10_The_Prodigy_Fuel_My_Fire,0.155
The_xx,01_Angels,0.044
The_xx,02_Chained,0.028
The_xx,03_Fiction,0.044
The_xx,05_Reunion,0.038
The_xx,06_Sunset,0.026
The_xx,07_Missing,0.055
The_xx,08_Tides,0.043
The_xx,09_Unfold,0.033
The_xx,10_Swept_Away,0.017
The_xx,01_Dangerous,0.080
The_xx,02_Say_Something_Loving,0.068
The_xx,03_Lips,0.052
The_xx,04_A_Violent_Noise,0.060
The_xx,05_Performance,0.081
The_xx,06_Replica,0.060
The_xx,07_Brave_For_You,0.072
The_xx,08_On_Hold,0.059
The_xx,09_I_Dare_You,0.039
The_xx,10_Test_Me,0.040
